"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Québec,Sainte-Catherine-de-la-Jacques-Cartier (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Fossambault-sur-le-Lac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Lac-Saint-Joseph (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Shannon (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Gabriel-de-Valcartier (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Lac-Delage (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Stoneham-et-Tewkesbury (CU),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Lac-Beauport (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Brigitte-de-Laval (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Notre-Dame-des-Anges (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Québec (V),"373,127","285,000","320,000","375,000","268,620","230,000","250,000","290,000","291,881","235,000","260,000","315,000"
Que/Qc,Québec,L'Ancienne-Lorette (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Augustin-de-Desmaures (V),--,--,--,--,"233,453",--,--,--,"233,453",--,--,--
Que/Qc,Québec,Lévis (V),"417,568","370,000","430,000","470,000","265,671","255,000","282,500","300,000","324,514","285,000","345,000","455,000"
Que/Qc,Québec,Saint-Lambert-de-Lauzon (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Antoine-de-Tilly (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Neuville (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Total,"376,110","310,000","355,000","415,000","263,360","230,000","250,000","280,000","300,162","237,500","275,000","330,000"
Que/Qc,Sherbrooke,Ascot Corner (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Stoke (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Saint-Denis-de-Brompton (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Val-Joli (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Sherbrooke (V),"372,697",--,--,--,"207,154","190,000","200,000","210,000","225,345","190,000","200,000","210,000"
Que/Qc,Sherbrooke,Compton (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Waterville (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,North Hatley (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Hatley (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Magog (V),"291,333",--,--,--,--,--,--,--,"291,333",--,--,--
Que/Qc,Sherbrooke,Orford (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Sherbrooke,Total,"341,964",--,--,--,"209,320","190,000","200,000","220,000","233,115","190,000","200,000","220,000"
Que/Qc,Trois-Rivières,Trois-Rivières (V),"357,420",--,--,--,"206,734",--,--,--,"280,145",--,--,--
Que/Qc,Trois-Rivières,Champlain (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Trois-Rivières,Saint-Luc-de-Vincennes (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Trois-Rivières,Saint-Maurice (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Trois-Rivières,Bécancour (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Trois-Rivières,Yamachiche (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Trois-Rivières,Total,"332,461","255,000","315,000","340,000","208,285",--,--,--,"258,433","255,000","315,000","340,000"
Que/Qc,Drummondville,Lefebvre (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,L'Avenir (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Saint-Lucien (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Wickham (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Saint-Germain-de-Grantham (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Drummondville (V),"228,856","185,000","220,000","250,000","193,440",--,--,--,"218,690","185,000","220,000","250,000"
Que/Qc,Drummondville,Saint-Cyrille-de-Wendover (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Notre-Dame-du-Bon-Conseil (VL),"182,379",--,--,--,--,--,--,--,"182,379",--,--,--
Que/Qc,Drummondville,Notre-Dame-du-Bon-Conseil (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Saint-Majorique-de-Grantham (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Saint-Edmond-de-Grantham (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Drummondville,Total,"226,279","190,000","215,000","250,000","193,574",--,--,--,"217,240","190,000","215,000","250,000"
Que/Qc,Granby,Bromont (V),--,--,--,--,"354,426",--,--,--,"354,426",--,--,--
Que/Qc,Granby,Saint-Alphonse-de-Granby (MÉ),"271,185",--,--,--,"228,402",--,--,--,"252,171",--,--,--
Que/Qc,Granby,Granby (V),--,--,--,--,"241,093",--,--,--,"241,093",--,--,--
Que/Qc,Granby,Roxton Pond (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Granby,Saint-Paul-d'Abbotsford (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Granby,Total,"334,912",--,--,--,"257,348","225,000","245,000","280,000","268,671","225,000","245,000","280,000"
Que/Qc,Rimouski,Saint-Narcisse-de-Rimouski (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Rimouski,Saint-Anaclet-de-Lessard (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Rimouski,Rimouski (V),--,--,--,--,"229,257",--,--,--,"229,257",--,--,--
Que/Qc,Rimouski,Saint-Valérien (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Rimouski,Saint-Fabien (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Rimouski,Total,--,--,--,--,"224,888","205,000","217,500","235,000","224,888","205,000","217,500","235,000"
Que/Qc,Saint-Hyacinthe,Saint-Hyacinthe (V),--,--,--,--,"256,927",--,--,--,"256,927",--,--,--
Que/Qc,Saint-Hyacinthe,Saint-Dominique (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saint-Hyacinthe,Saint-Simon (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saint-Hyacinthe,Total,--,--,--,--,"244,644",--,--,--,"244,644",--,--,--
Que/Qc,Shawinigan,Shawinigan (V),"214,186",--,--,--,--,--,--,--,"214,186",--,--,--
Que/Qc,Shawinigan,Saint-Boniface (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Shawinigan,Total,"215,464",--,--,--,--,--,--,--,"215,464",--,--,--
Que/Qc,Total,Total,"418,973","300,000","375,000","475,000","278,518","220,000","260,000","315,000","354,176","250,000","310,000","410,000"
Ont./Ont.,Barrie,Springwater (TP),"602,310","490,000","560,000","655,000",--,--,--,--,"602,310","490,000","560,000","655,000"
Ont./Ont.,Barrie,Innisfil (T),"658,436","540,000","650,000","760,000","558,516",--,--,--,"654,011","540,000","650,000","760,000"
Ont./Ont.,Barrie,Barrie (CY),"500,184","447,500","530,000","562,500",--,--,--,--,"500,184","447,500","530,000","562,500"
Ont./Ont.,Barrie,Total,"632,509","515,000","635,000","725,000","558,516",--,--,--,"630,818","515,000","635,000","725,000"
Ont./Ont.,Belleville,Tyendinaga (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Belleville,Belleville (CY),"316,142","290,000","320,000","340,000",--,--,--,--,"316,142","290,000","320,000","340,000"
Ont./Ont.,Belleville,Quinte West (CY),"334,220","295,000","330,000","355,000",--,--,--,--,"334,220","295,000","330,000","355,000"
Ont./Ont.,Belleville,Stirling-Rawdon (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Belleville,Total,"321,416","285,000","310,000","340,000","284,300",--,--,--,"320,277","285,000","310,000","340,000"
Ont./Ont.,Brantford,Brant (CY),"505,252",--,--,--,--,--,--,--,"505,252",--,--,--
Ont./Ont.,Brantford,Brantford (CY),"527,610",--,--,--,--,--,--,--,"527,610",--,--,--
Ont./Ont.,Brantford,Total,"506,016","390,000","515,000","600,000",--,--,--,--,"506,016","390,000","515,000","600,000"
Ont./Ont.,Guelph,Puslinch (TP),"993,148",--,--,--,--,--,--,--,"993,148",--,--,--
Ont./Ont.,Guelph,Guelph (CY),"658,724","545,000","600,000","710,000","489,837",--,--,--,"607,504","545,000","600,000","710,000"
Ont./Ont.,Guelph,Guelph/Eramosa (TP),"774,388",--,--,--,--,--,--,--,"774,388",--,--,--
Ont./Ont.,Guelph,Total,"718,898","575,000","650,000","775,000","489,837",--,--,--,"684,861","575,000","650,000","775,000"
Ont./Ont.,Hamilton,Burlington (CY),"1,984,824",--,--,--,--,--,--,--,"1,984,824",--,--,--
Ont./Ont.,Hamilton,Hamilton (C),"473,720","380,000","450,000","500,000","363,349","350,000","380,000","380,000","457,194","380,000","395,000","490,000"
Ont./Ont.,Hamilton,Grimsby (T),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Hamilton,Total,"622,853","390,000","480,000","550,000","366,541","350,000","380,000","380,000","591,256","380,000","460,000","550,000"
Ont./Ont.,Kingston,Frontenac Islands (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Kingston,Kingston (CY),"437,648",--,--,--,--,--,--,--,"437,648",--,--,--
Ont./Ont.,Kingston,South Frontenac (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Kingston,Loyalist (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Kingston,Total,"416,028","365,000","420,000","455,000",--,--,--,--,"416,028","365,000","420,000","455,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,North Dumfries (TP),"545,181",--,--,--,--,--,--,--,"545,181",--,--,--
Ont./Ont.,Kitchener - Cambridge - Waterl,Cambridge (CY),"564,512","535,000","570,000","590,000",--,--,--,--,"564,512","535,000","570,000","590,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,Kitchener (CY),"503,552","400,000","475,000","555,000","406,983",--,--,--,"501,788","400,000","475,000","555,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,Waterloo (CY),"606,353","450,000","550,000","650,000",--,--,--,--,"606,353","450,000","550,000","650,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,Wilmot (TP),"586,311","550,000","565,000","600,000",--,--,--,--,"586,311","550,000","565,000","600,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,Woolwich (TP),"527,966","565,000","595,000","680,000",--,--,--,--,"527,966","565,000","595,000","680,000"
Ont./Ont.,Kitchener - Cambridge - Waterl,Total,"543,102","450,000","535,000","600,000","394,898",--,--,--,"538,782","450,000","535,000","600,000"
Ont./Ont.,London,Central Elgin (MU),"373,851","310,000","400,000","460,000",--,--,--,--,"373,851","310,000","400,000","460,000"
Ont./Ont.,London,St. Thomas (CY),"336,125","275,000","327,500","400,000",--,--,--,--,"336,125","275,000","327,500","400,000"
Ont./Ont.,London,Southwold (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,London,Strathroy-Caradoc (MU),"381,352","330,000","385,000","435,000",--,--,--,--,"381,352","330,000","385,000","435,000"
Ont./Ont.,London,Thames Centre (MU),"465,599",--,--,--,--,--,--,--,"465,599",--,--,--
Ont./Ont.,London,Middlesex Centre (MU),"416,130","200,000","200,000","485,000",--,--,--,--,"416,130","200,000","200,000","485,000"
Ont./Ont.,London,London (CY),"536,395","430,000","500,000","590,000",--,--,--,--,"536,395","430,000","500,000","590,000"
Ont./Ont.,London,Adelaide-Metcalfe (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,London,Total,"485,801","375,000","455,000","550,000",--,--,--,--,"485,801","375,000","455,000","550,000"
Ont./Ont.,St. Catharines - Niagara,Fort Erie (T),"539,900","430,000","470,000","590,000",--,--,--,--,"539,900","430,000","470,000","590,000"
Ont./Ont.,St. Catharines - Niagara,Port Colborne (CY),"433,622",--,--,--,--,--,--,--,"433,622",--,--,--
Ont./Ont.,St. Catharines - Niagara,Wainfleet (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,St. Catharines - Niagara,Pelham (T),"605,130","530,000","600,000","710,000",--,--,--,--,"605,130","530,000","600,000","710,000"
Ont./Ont.,St. Catharines - Niagara,Welland (CY),"464,176","335,000","395,000","505,000",--,--,--,--,"464,176","335,000","395,000","505,000"
Ont./Ont.,St. Catharines - Niagara,Thorold (CY),"497,224","440,000","490,000","600,000",--,--,--,--,"497,224","440,000","490,000","600,000"
Ont./Ont.,St. Catharines - Niagara,Niagara Falls (CY),"518,172","375,000","460,000","630,000",--,--,--,--,"518,172","375,000","460,000","630,000"
Ont./Ont.,St. Catharines - Niagara,Niagara-on-the-Lake (T),"770,808","450,000","680,000","900,000",--,--,--,--,"770,808","450,000","680,000","900,000"
Ont./Ont.,St. Catharines - Niagara,St. Catharines (CY),"559,378","440,000","480,000","500,000",--,--,--,--,"559,378","440,000","480,000","500,000"
Ont./Ont.,St. Catharines - Niagara,Lincoln (T),"337,736",--,--,--,--,--,--,--,"337,736",--,--,--
Ont./Ont.,St. Catharines - Niagara,Total,"546,770","390,000","480,000","650,000","418,952",--,--,--,"539,021","390,000","480,000","650,000"
Ont./Ont.,Oshawa,Whitby (T),"793,000","645,000","707,500","930,000",--,--,--,--,"793,000","645,000","707,500","930,000"
Ont./Ont.,Oshawa,Oshawa (CY),"585,041","500,000","550,000","650,000",--,--,--,--,"585,041","500,000","550,000","650,000"
Ont./Ont.,Oshawa,Clarington (MU),"536,039","445,000","497,500","580,000",--,--,--,--,"536,039","445,000","497,500","580,000"
Ont./Ont.,Oshawa,Total,"599,433","490,000","570,000","680,000","488,625",--,--,--,"598,517","490,000","570,000","680,000"
Ont./Ont.,Ottawa,Clarence-Rockland (C),"358,078","325,000","365,000","390,000",--,--,--,--,"358,078","325,000","365,000","390,000"
Ont./Ont.,Ottawa,Russell (TP),"403,635","380,000","410,000","420,000","300,638",--,--,--,"387,306","380,000","410,000","420,000"
Ont./Ont.,Ottawa,Ottawa (CV),"539,207","440,000","520,000","615,000","575,982","412,500","490,000","815,000","540,255","440,000","520,000","615,000"
Ont./Ont.,Ottawa,North Grenville (MU),"424,078",--,--,--,--,--,--,--,"424,078",--,--,--
Ont./Ont.,Ottawa,Total,"521,934","420,000","500,000","600,000","475,872","370,000","410,000","550,000","516,542","410,000","490,000","600,000"
Ont./Ont.,Peterborough,Otonabee-South Monaghan (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Peterborough,Cavan Monaghan (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Peterborough,Peterborough (CY),"430,649",--,--,--,--,--,--,--,"430,649",--,--,--
Ont./Ont.,Peterborough,Selwyn (TP),"468,274",--,--,--,--,--,--,--,"468,274",--,--,--
Ont./Ont.,Peterborough,Douro-Dummer (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Peterborough,Total,"413,394","325,000","410,000","495,000",--,--,--,--,"413,394","325,000","410,000","495,000"
Ont./Ont.,Greater Sudbury / Grand Sudbur,Markstay-Warren (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Greater Sudbury / Grand Sudbur,Greater Sudbury / Grand Sudbury (CV),"524,800","400,000","505,000","580,000",--,--,--,--,"524,800","400,000","505,000","580,000"
Ont./Ont.,Greater Sudbury / Grand Sudbur,Total,"524,800","400,000","505,000","580,000",--,--,--,--,"524,800","400,000","505,000","580,000"
Ont./Ont.,Thunder Bay,Neebing (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,Thunder Bay (CY),"453,471",--,--,--,--,--,--,--,"453,471",--,--,--
Ont./Ont.,Thunder Bay,Oliver Paipoonge (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,Gillies (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,O'Connor (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,Conmee (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,Shuniah (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Thunder Bay,Total,"453,471",--,--,--,--,--,--,--,"453,471",--,--,--
Ont./Ont.,Toronto,Pickering (CY),"851,520","800,000","825,000","917,500",--,--,--,--,"851,520","800,000","825,000","917,500"
Ont./Ont.,Toronto,Ajax (T),"672,956","615,000","660,000","670,000","590,178",--,--,--,"666,619","615,000","660,000","670,000"
Ont./Ont.,Toronto,Uxbridge (TP),"422,906","307,500","320,000","460,000",--,--,--,--,"422,906","307,500","320,000","460,000"
Ont./Ont.,Toronto,Vaughan (CY),"1,480,417","990,000","1,305,000","1,825,000","654,281",--,--,--,"1,470,954","990,000","1,305,000","1,825,000"
Ont./Ont.,Toronto,Markham (CY),"1,597,405","1,050,000","1,200,000","1,637,500","986,500",--,--,--,"1,571,683","1,050,000","1,200,000","1,637,500"
Ont./Ont.,Toronto,Richmond Hill (T),"1,745,725","1,290,000","1,495,000","1,910,000","1,043,621",--,--,--,"1,722,025","1,290,000","1,495,000","1,910,000"
Ont./Ont.,Toronto,Whitchurch-Stouffville (T),"823,727","715,000","740,000","775,000",--,--,--,--,"823,727","715,000","740,000","775,000"
Ont./Ont.,Toronto,Aurora (T),"1,300,240","1,030,000","1,295,000","1,480,000","679,946","585,000","640,000","730,000","1,265,836","975,000","1,275,000","1,475,000"
Ont./Ont.,Toronto,Newmarket (T),"867,715","755,000","840,000","1,045,000",--,--,--,--,"867,715","755,000","840,000","1,045,000"
Ont./Ont.,Toronto,King (TP),"1,458,152","1,105,000","1,325,000","1,562,500",--,--,--,--,"1,458,152","1,105,000","1,325,000","1,562,500"
Ont./Ont.,Toronto,East Gwillimbury (T),"654,222","540,000","670,000","775,000","381,365",--,--,--,"645,012","540,000","670,000","775,000"
Ont./Ont.,Toronto,Georgina (T),"599,550","535,000","575,000","620,000",--,--,--,--,"599,550","535,000","575,000","620,000"
Ont./Ont.,Toronto,Toronto (C),"1,846,322","1,200,000","1,892,500","2,300,000","851,357","600,000","750,000","990,000","1,784,351","1,150,000","1,850,000","2,250,000"
Ont./Ont.,Toronto,Mississauga (CY),"1,648,913","1,350,000","1,450,000","1,900,000","909,629",--,--,--,"1,524,961","1,350,000","1,450,000","1,900,000"
Ont./Ont.,Toronto,Brampton (CY),"691,740","575,000","655,000","775,000","435,303","410,000","425,000","450,000","654,982","535,000","640,000","755,000"
Ont./Ont.,Toronto,Caledon (T),"758,016","650,000","725,000","780,000","577,789",--,--,--,"750,592","650,000","725,000","780,000"
Ont./Ont.,Toronto,Mono (T),"776,454","660,000","795,000","850,000",--,--,--,--,"776,454","660,000","795,000","850,000"
Ont./Ont.,Toronto,Orangeville (T),"559,535","490,000","575,000","605,000",--,--,--,--,"559,535","490,000","575,000","605,000"
Ont./Ont.,Toronto,Oakville (T),"1,750,453","905,000","1,200,000","2,495,000","656,142",--,--,--,"1,672,581","905,000","1,200,000","2,495,000"
Ont./Ont.,Toronto,Milton (T),"830,681","790,000","820,000","880,000","784,491","800,000","820,000","830,000","828,771","790,000","820,000","870,000"
Ont./Ont.,Toronto,Halton Hills (T),"1,088,569","775,000","1,175,000","1,375,000",--,--,--,--,"1,088,569","775,000","1,175,000","1,375,000"
Ont./Ont.,Toronto,New Tecumseth (T),"523,257","490,000","520,000","570,000","416,991",--,--,--,"521,998","490,000","520,000","570,000"
Ont./Ont.,Toronto,Bradford West Gwillimbury (T),"576,534","535,000","570,000","610,000","497,590","470,000","512,500","520,000","573,604","530,000","570,000","610,000"
Ont./Ont.,Toronto,Total,"1,020,375","610,000","790,000","1,200,000","579,165","420,000","460,000","635,000","981,353","590,000","760,000","1,120,000"
Ont./Ont.,Windsor,Amherstburg (T),"404,342",--,--,--,--,--,--,--,"404,342",--,--,--
Ont./Ont.,Windsor,LaSalle (T),"538,780","405,000","490,000","600,000","398,026",--,--,--,"518,253","405,000","490,000","600,000"
Ont./Ont.,Windsor,Windsor (CY),"426,843","345,000","420,000","465,000",--,--,--,--,"426,843","345,000","420,000","465,000"
Ont./Ont.,Windsor,Tecumseh (T),"562,296",--,--,--,--,--,--,--,"562,296",--,--,--
Ont./Ont.,Windsor,Lakeshore (T),"458,259","390,000","440,000","500,000",--,--,--,--,"458,259","390,000","440,000","500,000"
Ont./Ont.,Windsor,Total,"464,981","370,000","437,500","510,000","310,434","230,000","270,000","350,000","439,033","350,000","430,000","500,000"
Ont./Ont.,Chatham-Kent,Chatham-Kent (MU),"300,503",--,--,--,--,--,--,--,"300,503",--,--,--
Ont./Ont.,Chatham-Kent,Total,"300,503",--,--,--,--,--,--,--,"300,503",--,--,--
Ont./Ont.,Cornwall,South Stormont (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Cornwall,Cornwall (CY),"296,881",--,--,--,"221,293",--,--,--,"236,410",--,--,--
Ont./Ont.,Cornwall,Total,"323,004",--,--,--,"221,293",--,--,--,"251,208",--,--,--
Ont./Ont.,Kawartha Lakes,Kawartha Lakes (CY),"364,577","270,000","340,000","420,000",--,--,--,--,"364,577","270,000","340,000","420,000"
Ont./Ont.,Kawartha Lakes,Total,"364,577","270,000","340,000","420,000",--,--,--,--,"364,577","270,000","340,000","420,000"
Ont./Ont.,Norfolk,Norfolk County (CY),"354,567","280,000","340,000","420,000","277,954",--,--,--,"352,156","280,000","340,000","420,000"
Ont./Ont.,Norfolk,Total,"354,567","280,000","340,000","420,000","277,954",--,--,--,"352,156","280,000","340,000","420,000"
Ont./Ont.,North Bay,Bonfield (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,Chisholm (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,East Ferris (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,North Bay (CY),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,"Nipissing, Unorganized, North Part (NO)",--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,Powassan (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,Callander (MU),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,Nipissing (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,North Bay,Total,--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sarnia,St. Clair (TP),"343,650",--,--,--,--,--,--,--,"343,650",--,--,--
Ont./Ont.,Sarnia,Sarnia (CY),"443,292","340,000","447,500","545,000",--,--,--,--,"443,292","340,000","447,500","545,000"
Ont./Ont.,Sarnia,Point Edward (VL),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sarnia,Plympton-Wyoming (T),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sarnia,Total,"440,368","350,000","430,000","535,000",--,--,--,--,"440,368","350,000","430,000","535,000"
Ont./Ont.,Sault Ste. Marie,Laird (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sault Ste. Marie,"Macdonald, Meredith and Aberdeen Additional (TP)",--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sault Ste. Marie,Sault Ste. Marie (CY),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sault Ste. Marie,Prince (TP),--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Sault Ste. Marie,Total,--,--,--,--,--,--,--,--,--,--,--,--
Ont./Ont.,Total,Total,"786,091","480,000","610,000","855,000","487,823","375,000","425,000","520,000","760,020","450,000","595,000","830,000"
Man./Man.,Winnipeg,Taché (RM),"350,380",--,--,--,--,--,--,--,"350,380",--,--,--
Man./Man.,Winnipeg,Ritchot (RM),"401,805",--,--,--,--,--,--,--,"401,805",--,--,--
Man./Man.,Winnipeg,Macdonald (RM),"448,666","320,000","450,000","550,000",--,--,--,--,"448,666","320,000","450,000","550,000"
Man./Man.,Winnipeg,St. François Xavier (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,Winnipeg (CY),"433,637","370,000","425,000","495,000",--,--,--,--,"433,637","370,000","425,000","495,000"
Man./Man.,Winnipeg,Headingley (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,Springfield (RM),"413,006",--,--,--,--,--,--,--,"413,006",--,--,--
Man./Man.,Winnipeg,East St. Paul (RM),"562,475",--,--,--,--,--,--,--,"562,475",--,--,--
Man./Man.,Winnipeg,West St. Paul (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,St. Clements (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,First Nations (Winnipeg) (R),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,Rosser (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Winnipeg,Total,"436,671","360,000","425,000","500,000","324,748","295,000","315,000","335,000","426,560","330,000","400,000","485,000"
Man./Man.,Brandon,Oakland-Wawanesa (MU),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Brandon,Whitehead (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Brandon,Cornwallis (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Brandon,Brandon (CY),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Brandon,Elton (RM),--,--,--,--,--,--,--,--,--,--,--,--
Man./Man.,Brandon,Total,"406,856","345,000","370,000","425,000",--,--,--,--,"406,856","345,000","370,000","425,000"
Man./Man.,Total,Total,"437,896","355,000","400,000","460,000","322,719","300,000","315,000","335,000","424,805","340,000","400,000","450,000"
Sask./Sask.,Regina,Lajord No. 128 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Pense No. 160 (RM),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Belle Plaine (VL),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Pense (T),--,--,--,--,--,--,--,--,--,--,--,--
Sask./Sask.,Regina,Sherwood No. 159 (RM),--,--,--,--,--,--,--,--,--,--,--,--
